Model,AUC,Precision,Recall,F1
Tabular,0.8941008702283431,0.7080610021786492,0.16619790334952697,0.26920687512942637
Graph Only,0.9611695120289012,0.8535714285714285,0.30554845308105344,0.4500094144228959
Tabular + Graph,0.965425809960754,0.8366778149386845,0.3837893121963692,0.526205083260298
